316,C00455923,FEDUP POLITICAL ACTION COMMITTEE AKA FEDUP PAC,QUARTERLY FILER
317,C00521625,FIGHT 4 AMERICA,QUARTERLY FILER
318,C00549279,FIGHT FOR TOMORROW,QUARTERLY FILER
319,C00541466,FIRST IN SCIENCE PAC,QUARTERLY FILER
320,C00541094,FIRSTPAC FOR POLITICAL FREEDOM,QUARTERLY FILER
321,C00543777,FISCAL ADVOCACY FUND,QUARTERLY FILER
322,C00521013,FLORIDA FREEDOM PAC,QUARTERLY FILER
323,C00526905,FLORIDA HORSE ASSOCIATION,QUARTERLY FILER
324,C00557272,FOR OUR AMERICA PAC,QUARTERLY FILER
325,C00568998,FOR WEST TEXAS PAC INC,QUARTERLY FILER
326,C00542977,FOREST LANDOWNERS SUPER PAC,QUARTERLY FILER
327,C00563981,FORWARD MASSACHUSETTS,QUARTERLY FILER
328,C00555862,FOUNDATION FOR A GREATER AMERICA INC,QUARTERLY FILER
329,C00553115,FREE ENTERPRISE LEADERSHIP INITIATIVE,QUARTERLY FILER
330,C00548362,FREEDOM AND OPPORTUNITY PAC INC,QUARTERLY FILER
331,C00498519,FREEDOM BORN FUND,QUARTERLY FILER
332,C00509919,FREEDOM COUNTRY FUND,QUARTERLY FILER
333,C00496372,FREEDOM FRONTIER ACTION NETWORK,QUARTERLY FILER
334,C00516112,FREEDOM FUND FOR AMERICA'S FUTURE INC,QUARTERLY FILER
335,C00532564,FREEDOM FUND NORTH AMERICA,QUARTERLY FILER
336,C00517417,FREEDOM PAC,QUARTERLY FILER
337,C00564765,FREEDOM PARTNERS ACTION FUND INC,MONTHLY FILER
338,C00492504,FREEDOM PATH ACTION NETWORK,QUARTERLY FILER
339,C00517433,FREEDOM PIONEERS ACTION NETWORK,QUARTERLY FILER
340,C00509927,FREEDOM PLAINS ACTION NETWORK,QUARTERLY FILER
341,C00547992,FREEDOM'S FRONTIER,QUARTERLY FILER
342,C00499020,FREEDOMWORKS FOR AMERICA,MONTHLY FILER
343,C00570572,FREEPAC,QUARTERLY FILER
344,C00363390,FRIENDS FOR A DEMOCRATIC WHITE HOUSE PAC INC,QUARTERLY FILER
345,C00517276,FRIENDS OF TRADITIONAL BANKING INC,QUARTERLY FILER
346,C00518548,FRIENDS UNITED POLITICAL ACTION COMMITTEE,QUARTERLY FILER
347,C00561167,FULL TIME AMERICA,QUARTERLY FILER
348,C00541037,FUND FOR LOUISIANA'S FUTURE; THE,QUARTERLY FILER
349,C00555847,GAME CHANGER PAC,MONTHLY FILER
350,C00526327,GARDEN STATE LIBERTY PAC,QUARTERLY FILER
351,C00548313,GATES OF LEARNING,QUARTERLY FILER
352,C00532630,GEAUX PAC,QUARTERLY FILER
353,C00550277,GEM STATE PROSPERITY FUND INC.,QUARTERLY FILER
354,C00526749,GEORGIA HORSE ASSOCIATION,QUARTERLY FILER
355,C00567032,GEORGIA ONE PAC,QUARTERLY FILER
356,C00560094,GEORGIA WOMEN VOTE!,MONTHLY FILER
357,C00557397,GEORGIANS TOGETHER,QUARTERLY FILER
358,C00560854,GLOBAL DEMOCRATIC PAC,QUARTERLY FILER
359,C00570838,GLOBAL STRATEGY FOUNDATION,QUARTERLY FILER
360,C00524900,GO PEP RALLY.ORG,QUARTERLY FILER
